sec	CH1	CH2	CH40	CH41	
6.2685	0.109863	-0.0146484	177.515	0.338	
6.269	0.10498	-0.0146484	177.515	0.338	
6.2695	0.100098	-0.0146484	177.515	0.338	
6.27	0.0952148	-0.0146484	177.515	0.338	
6.2705	0.0878906	-0.0146484	177.515	0.338	
6.271	0.078125	-0.0146484	177.515	0.338	
6.2715	0.0708008	-0.0146484	177.515	0.338	
6.272	0.0585938	-0.0146484	177.515	0.338	
6.2725	0.0463867	-0.0146484	177.515	0.338	
6.273	0.0341797	-0.0146484	177.515	0.338	
6.2735	0.0219727	-0.0146484	177.515	0.338	
6.274	0.00732422	-0.0146484	177.515	0.338	
6.2745	-0.00732422	-0.0146484	177.515	0.338	
6.275	-0.0219727	-0.0146484	177.515	0.338	
6.2755	-0.0366211	-0.0146484	177.515	0.338	
6.276	-0.0537109	-0.0146484	177.515	0.338	
6.2765	-0.0683594	-0.0146484	177.515	0.338	
6.277	-0.0830078	-0.0146484	177.515	0.338	
6.2775	-0.100098	-0.0146484	177.515	0.338	
6.278	-0.114746	-0.0146484	177.515	0.338	
6.2785	-0.126953	-0.0146484	177.515	0.338	
6.279	-0.141602	-0.0146484	177.515	0.338	
6.2795	-0.151367	-0.0146484	177.515	0.338	
6.28	-0.163574	-0.0146484	177.515	0.338	
6.2805	-0.170898	-0.0146484	177.515	0.338	
6.281	-0.178223	-0.0146484	177.515	0.338	
6.2815	-0.183105	-0.0146484	177.515	0.338	
6.282	-0.185547	-0.0146484	177.515	0.338	
6.2825	-0.187988	-0.0146484	177.515	0.338	
6.283	-0.19043	-0.0146484	177.515	0.338	
6.2835	-0.187988	-0.0146484	177.515	0.338	
6.284	-0.187988	-0.0146484	177.515	0.338	
6.2845	-0.185547	-0.0146484	177.515	0.338	
6.285	-0.185547	-0.0146484	177.515	0.338	
6.2855	-0.183105	-0.0146484	177.515	0.338	
6.286	-0.178223	-0.0146484	177.515	0.338	
6.2865	-0.175781	-0.0146484	177.515	0.338	
6.287	-0.17334	-0.0146484	177.515	0.338	
6.2875	-0.168457	-0.0146484	177.515	0.338	
6.288	-0.163574	-0.0146484	177.515	0.338	
6.2885	-0.161133	-0.0146484	177.515	0.338	
6.289	-0.15625	-0.0146484	177.515	0.338	
6.2895	-0.151367	-0.0146484	177.515	0.338	
6.29	-0.148926	-0.0146484	177.515	0.338	
6.2905	-0.144043	-0.0146484	177.515	0.338	
6.291	-0.13916	-0.0146484	177.515	0.338	
6.2915	-0.134277	-0.0146484	177.515	0.338	
6.292	-0.129395	-0.0146484	177.515	0.338	
6.2925	-0.12207	-0.0146484	177.515	0.338	
